"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1014","should be hidden when there are no items that are completed","chromium","Sun Feb 16 21:47:37 UTC 2025","passed","Sun Feb 16 21:47:38 UTC 2025","Clear completed button","specs/demo-todo-app.spec.ts","",""
"","845","should display the correct text","chromium","Sun Feb 16 21:47:36 UTC 2025","passed","Sun Feb 16 21:47:37 UTC 2025","Clear completed button","specs/demo-todo-app.spec.ts","",""
"","451","Test name","chromium","Sun Feb 16 21:46:41 UTC 2025","passed","Sun Feb 16 21:46:41 UTC 2025","","specs/example.spec.ts","",""
"","1051","should persist its data","chromium","Sun Feb 16 21:47:37 UTC 2025","passed","Sun Feb 16 21:47:38 UTC 2025","Persistence","specs/demo-todo-app.spec.ts","",""
"","1643","should clear text input field when an item is added","chromium","Sun Feb 16 21:47:32 UTC 2025","passed","Sun Feb 16 21:47:34 UTC 2025","New Todo","specs/demo-todo-app.spec.ts","",""
"","868","should trim entered text","chromium","Sun Feb 16 21:47:36 UTC 2025","passed","Sun Feb 16 21:47:36 UTC 2025","Editing","specs/demo-todo-app.spec.ts","",""
"","1018","should allow me to display active items","chromium","Sun Feb 16 21:47:37 UTC 2025","passed","Sun Feb 16 21:47:38 UTC 2025","Routing","specs/demo-todo-app.spec.ts","",""
"","1390","should respect the back button","chromium","Sun Feb 16 21:47:37 UTC 2025","passed","Sun Feb 16 21:47:39 UTC 2025","Routing","specs/demo-todo-app.spec.ts","",""
"","963","should remove completed items when clicked","chromium","Sun Feb 16 21:47:36 UTC 2025","passed","Sun Feb 16 21:47:37 UTC 2025","Clear completed button","specs/demo-todo-app.spec.ts","",""
"","1508","has title","chromium","Sun Feb 16 21:46:41 UTC 2025","passed","Sun Feb 16 21:46:42 UTC 2025","","specs/example.spec.ts","",""
"","1085","should cancel edits on escape","chromium","Sun Feb 16 21:47:36 UTC 2025","passed","Sun Feb 16 21:47:37 UTC 2025","Editing","specs/demo-todo-app.spec.ts","",""
"","1082","should remove the item if an empty text string was entered","chromium","Sun Feb 16 21:47:36 UTC 2025","passed","Sun Feb 16 21:47:37 UTC 2025","Editing","specs/demo-todo-app.spec.ts","",""
"","1046","should hide other controls when editing","chromium","Sun Feb 16 21:47:35 UTC 2025","passed","Sun Feb 16 21:47:36 UTC 2025","Editing","specs/demo-todo-app.spec.ts","",""
"","1091","should allow me to display completed items","chromium","Sun Feb 16 21:47:37 UTC 2025","passed","Sun Feb 16 21:47:39 UTC 2025","Routing","specs/demo-todo-app.spec.ts","",""
"","1637","should allow me to add todo items","chromium","Sun Feb 16 21:47:32 UTC 2025","passed","Sun Feb 16 21:47:33 UTC 2025","New Todo","specs/demo-todo-app.spec.ts","",""
"","2095","Hovering on Product tab shows dropdown","chromium","Mon Feb 17 18:44:30 UTC 2025","passed","Mon Feb 17 18:44:32 UTC 2025","Main Tab Suite","specs/home.spec.ts","",""
"","950","should save edits on blur","chromium","Sun Feb 16 21:47:36 UTC 2025","passed","Sun Feb 16 21:47:36 UTC 2025","Editing","specs/demo-todo-app.spec.ts","",""
"","1930","should allow me to mark all items as completed","chromium","Sun Feb 16 21:47:32 UTC 2025","passed","Sun Feb 16 21:47:34 UTC 2025","Mark all as completed","specs/demo-todo-app.spec.ts","",""
"","1109","should allow me to display all items","chromium","Sun Feb 16 21:47:38 UTC 2025","passed","Sun Feb 16 21:47:39 UTC 2025","Routing","specs/demo-todo-app.spec.ts","",""
"","2084","Hovering on Solutions tab shows dropdown","chromium","Mon Feb 17 18:44:33 UTC 2025","passed","Mon Feb 17 18:44:35 UTC 2025","Main Tab Suite","specs/home.spec.ts","",""
"","1038","should allow me to un-mark items as complete","chromium","Sun Feb 16 21:47:35 UTC 2025","passed","Sun Feb 16 21:47:36 UTC 2025","Item","specs/demo-todo-app.spec.ts","",""
"","950","should allow me to edit an item","chromium","Sun Feb 16 21:47:35 UTC 2025","passed","Sun Feb 16 21:47:36 UTC 2025","Item","specs/demo-todo-app.spec.ts","",""
"","1126","complete all checkbox should update state when items are completed / cleared","chromium","Sun Feb 16 21:47:35 UTC 2025","passed","Sun Feb 16 21:47:36 UTC 2025","Mark all as completed","specs/demo-todo-app.spec.ts","",""
"","1708","should allow me to clear the complete state of all items","chromium","Sun Feb 16 21:47:32 UTC 2025","passed","Sun Feb 16 21:47:34 UTC 2025","Mark all as completed","specs/demo-todo-app.spec.ts","",""
"","841","should display the current number of todo items","chromium","Sun Feb 16 21:47:36 UTC 2025","passed","Sun Feb 16 21:47:37 UTC 2025","Counter","specs/demo-todo-app.spec.ts","",""
"","1083","should highlight the currently applied filter","chromium","Sun Feb 16 21:47:38 UTC 2025","passed","Sun Feb 16 21:47:39 UTC 2025","Routing","specs/demo-todo-app.spec.ts","",""
"","1658","should append new items to the bottom of the list","chromium","Sun Feb 16 21:47:32 UTC 2025","passed","Sun Feb 16 21:47:34 UTC 2025","New Todo","specs/demo-todo-app.spec.ts","",""
"","6966","Hovering on Product tab shows dropdown","chromium","Sun Feb 16 23:19:45 UTC 2025","failed","Sun Feb 16 23:19:52 UTC 2025","","specs/home.spec.ts","",""
"","1021","should allow me to mark items as complete","chromium","Sun Feb 16 21:47:35 UTC 2025","passed","Sun Feb 16 21:47:36 UTC 2025","Item","specs/demo-todo-app.spec.ts","",""
"","1581","get started link","chromium","Sun Feb 16 21:46:41 UTC 2025","passed","Sun Feb 16 21:46:42 UTC 2025","","specs/example.spec.ts","",""
